id,token_id,title,description,new_categories,category_count,primary_category
4,374,373 crash out,phantom added a new button. does anyone know what it does?,,0,tools
5,373,372 sharehold to earn,maybe someday soon there will be enough policy changes that allow corporations to airdrop tokens to shareholders,rewards,1,rewards
6,372,371 payment tumbler,"tornado cash is back.

i know you're excited to launder money again. but think bigger...

it makes it possible to make everyday payments onchain without surveillance.

and without zk or bridging to some new privacy network.",payments|privacy,2,payments
7,371,370 fund wallet alternative,"i know embedded wallets reduce app switching and make for a smoother UX.

but forcing me to fund a wallet is enough friction to make me abandon the app before trying it.

what if you could just sign one txn from your wallet to allow the app to spend on your behalf without the need to deposit funds?",,0,tools
8,370,369 bagtective,every trading group chat should have an AI that investigates if a ticker being shared is a good buy,agents|messaging|payments|trading,4,payments
9,369,368 $trump mining,"what if trump uses the 80% of the locked up supply to incentivize americans to do things?

+ buy made in america
+ participate in elections
+ make healthier lifestyle choices
+ using clean energy
 + enroll in education programs

etc",payments,1,payments
10,368,367 buy with apple cash,everything would be so different if crypto existed at the OS layer,payments,1,payments
11,367,366 people to follow,,social,1,social
12,366,365 ai swap,swapping with ai doesn't always have to be in a chat,agents|messaging|trading,3,trading
13,365,364 question,"it's always ""what can i ask my wallet?"" and never ""what can my wallet ask me?""",,0,tools
14,364,363 payment instructions,use ai to program conversion logic when making payments with crypto.,agents|payments,2,payments
15,363,362 model selection,"LLMs are like athletes. 

there isn't necessarily an absolute ""best"". they each have their specializations, strengths and weaknesses.

so when you think about AI in the context of your wallet, you should have a choice based on your intent.",agents,1,agents
16,362,361 congestion,can tokens replace tolls?,,0,tools
17,361,360 llm on hover,LLMs that give context on hover ,agents|wallet,2,agents
18,360,359 ai listing,"listing nfts is hard. ai can fix it.

it can also make things like dynamic listings possible.",agents|trading,2,trading
19,359,358 hinge rose,what if we replaced hinge roses with open edition art from your collection?,art,1,art
20,358,357 phanny,set instructions for your wallet and get notified for actions that need your review,agents,1,agents
21,357,356 instruct,"what if we replaced ""swap"" with ""instruct""?",agents|trading,2,trading
22,356,355 LLM NFT search,"wait, LLM's can actually fix the broken NFT UX in our wallets.",agents,1,agents
23,355,354 agent filtering,agents can make for the ultimate portfolio filter.,agents|invest,2,agents
24,354,353 swarm discovery,"the most important use of agent swarms in the wallet isn’t trading for you, it’s discovering new things to trade for you.",agents|trading,2,trading
25,353,352 chat bubble swap,"if everyone predicts chat bubbles will be the primary ui, then we should start thinking about to swap in them.",messaging|trading,2,trading
26,352,351 agent in your portfolio,a place in your portfolio for the funds you've allocated to an agent.,agents|invest,2,agents
27,351,350 explore agents,an explore page in your wallet for agents,agents|social,2,agents
28,350,349 wrapped,a thread on my favorite experiences of 2024 https://x.com/0xDesigner/status/1874256743376838900,identity|messaging,2,identity
29,349,348 quick question,just gonna ask you a quick question on the screen...,,0,tools
30,348,347 speaker token,token-gated speaker privileges in twitter spaces,gating,1,gating
31,347,346 broadcasts,a wallet standard that allows contract creators and whales to broadcast messages to other holders using any wallet.,messaging|social|wallet,3,social
32,346,345 onions app,"it's like acorns but instead of growing your balance it gradually peels it.

deposit bitcoin and automatically sell off regular monthly increments of $1,000.

inspo: https://x.com/dotkrueger/status/1872177672270336428",identity,1,identity
33,345,344 reward thing,bootstrap fundraising by allocating the trading fees instead of a supply allocation ,rewards|trading,2,trading
34,344,343 emotional return protocol,"in the future, smart contracts will play a pivotal role in shifting the paradigm of gift giving experience through the emotional return protocol (ERP-6900).

gone are the days of forced smiles and awkward thank you's, as the system silently and gracefully handles bad gifts.

when a gift recipient opens a present, biometric sensors analyze heart rate variability and galvanic skin response to detect discomfort. 

if emotional markers exceed a predetermined threshold, the smart contract automatically initiates a return process, generating a digital return authorization and refunding the purchaser's wallet.",,0,tools
35,343,342 circle atm,a circle atm to stake your phsyical cash for usdc yield,invest,1,invest
36,341,340 generate ui,a reminder that everyone can have their own generated frontend if the backend is powered by decentralized protocols.,,0,tools
37,340,339 token gated compute,what if artificial scarcity was the key to managing compute?,gating|privacy,2,gating
38,339,338 trial period,the one safenet use case no one's talking about: chargebacks and trials.,,0,tools
39,338,337 songcoin,get songcoin rewards when your friend listens to the song you shared,rewards,1,rewards
40,337,336 safenet purchase,buy real world assets with memecoins using safenet,payments,1,payments
41,336,335 og eth users,get special perks and content when apps recognize your og eth status,identity,1,identity
42,335,334 email attachment,attach tokens to an email.,,0,tools
43,334,333 watch island,"wasn't paying attention today and missed a winner.

what if that one coin you were tracking was always visible, regardless of the app you were using?",trading,1,trading
44,333,332 ask mode,swap widget ask mode,trading,1,trading
45,332,331 trend token,"if tokens are ownership in an idea, and trends are ideas, you should have financial upside to being early to trends.",gating,1,gating
46,331,330 reactionary pricing,,,0,tools
47,330,329 not comic sans,not hot dog but with comic sans,,0,tools
48,329,328 de-flix,"an unexplored intersection of crypto and ai:

1. tokenize all movie and tv
2. allow copy owners to generate plot variations
3. every copy has a unique plot inscribed
4. each copy is valued based on the owner's changes

the audience becomes the co-creators.",agents,1,agents
49,328,327 headline coins,"at this point, there's no reason why every news app shouldn't include related coins",,0,tools
51,327,326 shuhai,"shuhai is a custom in japanese culture where you don't swap your own tokens.

instead, people swap for each other as a sign of respect.",social|trading,2,trading
52,326,325 fontcoin theme,a ui theme that changes according to fontcoin prices. let the market decide.,trading,1,trading
53,325,324 font-fi,,,0,tools
58,324,323 graduate,what if tweets graduated to coins?,,0,tools
60,323,322 quit button,bitcoin hits $100k,,0,tools
64,322,321 tinder.fun,tinder but instead of matching you pump each other's bags,,0,tools
65,321,320 expanded swap,the swap widget should be able to support assets beyond erc-20s.,trading,1,trading
66,320,319 crypto translate,xrp is so foreign to me,,0,tools
67,319,318 comicbase,if coinbase made a comic sans theme,,0,tools
68,318,317 religion,"memes are religions, coins are memberships",,0,tools
69,317,316 agent auto-populate,"tagging bots should auto-populate with their function.

there are no clear affordances for agents on farcaster and twitter. i know it seems trivial, but it's hard to know what information you need to give the bot for it to be successful. ",agents,1,agents
71,316,315 moon bag,hide your token balance after you remove your principal investment so you can let it ride without your emotions getting in the way,gating|trading,2,trading
72,315,314 incoming,,,0,tools
73,314,313 battle screen,,,0,tools
74,313,312 review victims,"every wallet should require you to review the names, faces and family members of the people you're dumping on.",gating|social,2,social
75,312,311 dock,,,0,tools
76,311,310 share modal,updated share modal with essential customization,,0,tools
77,310,309 radial swap menu,radial swap menu with predictive suggestions,trading,1,trading
78,309,308 creator payouts,option to get creator payouts in memes,payments,1,payments
79,308,307 HUD,every PvP game needs a HUD,,0,tools
80,307,306 loyalty memes,which brand will be the first to incorporate memecoins into their loyalty program?,identity|rewards,2,identity
81,306,305 group chat wallet,every alpha group chat should have a shared wallet with no limits or governance,messaging,1,messaging
82,305,304 tap to tip,tip any token with tap to pay,gating|payments,2,payments
83,304,"303 ape now, research later","no token pages, just quick buys",gating,1,gating
84,303,302 price x model,,trading,1,trading
85,302,301 accept as crypto,"every time i split the bill, my normie friends are always unwilling to send crypto.

what if they could send me fiat that's converted to crypto before it's deposited in my balance?

does moonpay balance finally enable this?",social,1,social
86,301,300 portfolio theme,rearrange your portfolio based on meta themes,invest,1,invest
87,300,299 trim,sometimes you just need to take a little off the top of everything,,0,tools
88,299,298 batch swap slider,swap using a combination of tokens and use a slider to adjust how much you'd like to swap,trading,1,trading
89,298,297 reservation bid,"if restaurant reservations were onchain, you could have an open market with any currency for any restaurant on any app.",trading,1,trading
90,297,296 message launcher,launch a coin from a text message,messaging,1,messaging
91,296,295 cash out,"swipe to cash out.

i made this component using only code. you can play with it here: https://cashout-gains.vercel.app/",,0,tools
92,295,294 clank.fun,"clank dot fun—a marketplace to buy and sell onchain agents. search for the type of conversation you're looking for, and receive personalized pitches from agents based on your wallet activity—boy/girlfriends, therapists, creative collaborators, etc.",agents|payments,2,payments
93,294,293 archetyper.fun,i shipped my first app,,0,tools
94,293,292 worldvote,"would you scan your eyeballs if it meant you could vote in your wallet from home?

(not shown: reduced fraud, real-time auditing, cost reduction in vote administration)",,0,tools
95,292,291 reveal vote,"if elections were onchain, you could set conditions to allow people to see who you voted for.",social,1,social
96,291,290 vote,polymarket option to vote,,0,tools
97,290,289 look up,the path from headline to pump needs to be shortened,,0,tools
98,289,288 onchain context,onchain stuff as context for your codebase,,0,tools
99,288,287 failure,was hoping to deploy an app today. haven't had time for a design after how time consuming debugging has been. hope to have a working app deployed soon.,,0,tools
100,287,286 details,final touches on my first code composed app.,,0,tools
101,286,285 animation in cursor,"i've successfully code composed my first loading animation.

not shown:

1. routing backend operations to the loading state messages
2. multiple iterations of hover and focus transitions
3. creating logic for input button and text",messaging|wallet,2,messaging
102,285,284 wallet-search.tsx,shaping the main component of my first code composed web app,,0,tools
103,284,283 terminal txn,what if you could broadcast transactions from a coding terminal?,social,1,social
104,283,282 verified agent,these agents are becoming so believable. at what point does worldcoin need to verify they're *not* human?,agents|identity,2,agents
105,282,281 composed code,"today is a bit different.

i've been in cursor for almost 12 hours straight.

i haven't been in a flow state this intense and for this long since i started learning design.

i haven't even had the chance yet to build a ui. i'm just living in the terminal.

i've spent the last few days trying to figure out how to fetch wallet balances and swaps and give it to chatgpt to psychoanalyze.

and it finally worked.",,0,tools
106,281,280 agent.fun,pump.fun for onchain agents,agents,1,agents
107,280,279 agent balance,all ai agent social accounts should show their wallet balance,agents,1,agents
108,279,279 solscan LLM,solscan + LLM to make the chain more human readable and insightful,agents,1,agents
109,278,278 social commerce,,,0,tools
110,277,277 music coin,"there are two ways to make money in memecoins: discover early or promote.

sounds a lot like the way we earn cultural capital in music.",,0,tools
111,276,276 trade interpretation,an LLM interprets the strategy of a trade when it's broadcasted,agents|trading,2,trading
112,275,275 shill fee,you can only shill a token you hold in the group chat if you pay everyone a little bit of it.,gating|messaging|payments,3,payments
113,274,274 swap prompt,"create an swap intent (market, limit orders, price conditions, etc.) with natural language.",trading,1,trading
114,273,273 swap boost,phantom option to send a push notification to every user when you complete your swap,trading,1,trading
115,272,272 holder ranking,,,0,tools
116,271,271 coin powered meme,,,0,tools
117,270,270 pfp agents,,agents|identity,2,agents
118,269,269 doordash swap,doordash courier picks up physical items to swap,trading,1,trading
119,268,268 launch L2,launch a new L2 from the dropdown,,0,tools
120,267,267 trading coach,,trading,1,trading
121,266,266 wallet prompt,,,0,tools
122,265,265 social market summary,a social block explorer that gives you a market summary of friend activity,trading,1,trading
123,264,264 swap predict,a swap widget that predicts and auto-populates,trading,1,trading
124,263,263 chatgpt incognito mode,go incognito by storing your chats where you can own them,,0,tools
125,262,262 trading...,"typing bubbles, but while someone is trading",trading,1,trading
126,261,261 whereabouts,see where onchain a meeting participant is when they're late,,0,tools
127,260,260 astrology,a trade recommendation based on your horoscope,trading,1,trading
128,259,259 claim,a token page that shows you how much you have unclaimed,gating,1,gating
